source,desc,alpha,rho,n_params,note
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.1,-0.011686330848858596,3060.62,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.05,0.023158137233785,1433.51,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.05,-0.011849902408477296,1433.51,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.01,0.033639278181981,243.86,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.01,-0.0013687614602812953,243.86,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.005,0.0344816992231184,113.76,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.005,-0.0005263404191438933,113.76,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.001,0.0162945461776079,19.22,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,all,0.001,-0.018713493464654396,19.22,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.0199526231496887,0.0450939219118875,227.4,max rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.1,0.0274200140227121,1336.87,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.1,-0.0176739078891754,1336.87,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.05,0.0345645752473567,621.51,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.05,-0.0105293466645308,621.51,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.01,0.0435513259616066,108.08,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.01,-0.0015425959502808964,108.08,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.005,0.0306787812577644,51.36,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.005,-0.0144151406541231,51.36,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.001,0.0006424095180268,8.74,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,negative,0.001,-0.0444515123938607,8.74,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.0025118864315095,0.0276960969928515,29.380000000000003,max rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.1,0.0089592136966327,1723.75,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.1,-0.0187368832962188,1723.75,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.05,0.0037879925621582,812.0,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.05,-0.0239081044306933,812.0,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.01,0.0112939610330467,135.78,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.01,-0.016402135959804796,135.78,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.005,0.0235056559315052,62.4,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.005,-0.004190441061346299,62.4,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.001,0.0243779291748447,10.48,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_extraversion_average_fu2,positive,0.001,-0.003318167818006798,10.48,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.0031622776601683,0.1495364851530071,421.02,max rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.1,0.1425132696261417,5444.77,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.1,-0.007023215526865412,5444.77,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.05,0.1454173929090421,3200.71,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.05,-0.004119092243965006,3200.71,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.01,0.1476756084862958,964.42,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.01,-0.0018608766667113086,964.42,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.005,0.1489704992434065,583.87,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.005,-0.0005659859096006081,583.87,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.001,0.1466360093246287,188.83,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,all,0.001,-0.002900475828378407,188.83,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.0031622776601683,0.1490773738453637,219.82,max rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.1,0.1407451603510486,2726.79,fixed alpha 0.1
